Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
Q9H0G5;A0A024QZ33;K7ERM9	Q9H0G5;A0A024QZ33	3;3;1	3;3;1	3;3;1	Nuclear speckle splicing regulatory protein 1	NSRP1;CCDC55	3	3	3	3
A0A024QZP7;P06493;P06493-2;A0A087WZZ9;E5RIU6;K7ELV5;Q00526	A0A024QZP7;P06493;P06493-2;A0A087WZZ9;E5RIU6	16;16;13;9;8;2;2	16;16;13;9;8;2;2	14;14;12;7;6;0;0	Cyclin-dependent kinase 1	CDC2;CDK1	7	16	16	14
A0A024R216;Q9Y3E1;H3BPQ6;H3BPM9	A0A024R216;Q9Y3E1;H3BPQ6	4;4;3;1	2;2;1;1	2;2;1;1	Hepatoma-derived growth factor-related protein 3	HDGFRP3	4	4	2	2
A0A024R442;E7ETB3;Q9ULA0;E7EMB6;C9JBE1;F8WAN0;E7EPX3;B9ZVU2;E5RJ35;C9J1E2;E3W974;C9JRG3	A0A024R442;E7ETB3;Q9ULA0;E7EMB6	17;17;17;14;8;6;5;5;3;3;2;2	17;17;17;14;8;6;5;5;3;3;2;2	17;17;17;14;8;6;5;5;3;3;2;2	Aspartyl aminopeptidase	DNPEP	12	17	17	17
A0A024R4E5;Q00341;Q00341-2;H0Y394;C9JIZ1;H7C0A4;C9J5E5;C9JZI8;H7BZC3;C9JHS7;C9JHZ8;C9JES8;H7C2D1;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9	A0A024R4E5;Q00341;Q00341-2;H0Y394	59;58;52;39;17;16;16;14;12;12;12;12;10;7;7;5;5;5;4;3;1;1	59;58;52;39;17;16;16;14;12;12;12;12;10;7;7;5;5;5;4;3;1;1	59;58;52;39;17;16;16;14;12;12;12;12;10;7;7;5;5;5;4;3;1;1	Vigilin	HDLBP	22	59	59	59
A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	A0A024R4M0;P46781;B5MCT8;C9JM19	18;18;13;13;5;5	18;18;13;13;5;5	18;18;13;13;5;5	40S ribosomal protein S9	RPS9	6	18	18	18
A0A024R571;Q9H4M9;C9JIJ3;C9IZH1;C9J2Z4;C9JC03	A0A024R571;Q9H4M9;C9JIJ3;C9IZH1;C9J2Z4;C9JC03	2;2;1;1;1;1	2;2;1;1;1;1	2;2;1;1;1;1	EH domain-containing protein 1	EHD1	6	2	2	2
A0A024RA52;P25787;C9JCK5;H3BT36;H7C402	A0A024RA52;P25787	22;22;10;3;1	22;22;10;3;1	22;22;10;3;1	Proteasome subunit alpha type;Proteasome subunit alpha type-2	PSMA2	5	22	22	22
A0A024RAC6;Q14241	A0A024RAC6;Q14241	14;13	14;13	14;13	Transcription elongation factor B polypeptide 3	TCEB3	2	14	14	14
P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4;A0A0G2JJM1;H0Y710;X6REW1;F6S6P2;H0Y4L1;F6WML8;F6VEM6;F6X9W3;F6U341;A0A0G2JJR8;F6XTU0;F6U1F2;F6UR09;A0A1B0GX79;F6TC96;H0Y759;A0A0G2JIB3;A0A0G2JIA9;A0A0G2JJ92;H0Y7K4	P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4	26;26;26;26;26;22;22;21;9;9;9;8;8;5;5;5;5;5;5;5;5;5;2;1;1;1;1;1	26;26;26;26;26;22;22;21;9;9;9;8;8;5;5;5;5;5;5;5;5;5;2;1;1;1;1;1	26;26;26;26;26;22;22;21;9;9;9;8;8;5;5;5;5;5;5;5;5;5;2;1;1;1;1;1	Large proline-rich protein BAG6	BAG6;BAT3	28	26	26	26
